2017-06-03 14:44:51,509 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: org:socialnetworking:0.0.1-SNAPSHOT @ C:\Users\MRuser\Desktop\Project_Workspace\socialnetworking\pom.xml.
2017-06-03 14:44:58,918 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /socialnetworking/src/main/java
2017-06-03 14:44:58,919 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /socialnetworking/src/main/resources
2017-06-03 14:44:58,920 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /socialnetworking/src/test/java
2017-06-03 14:45:03,685 [Worker-3] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 17 sec
2017-06-03 14:45:07,307 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-03 14:45:07,334 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-03 14:45:07,339 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-03 14:45:07,341 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\MRuser\Desktop\Project_Workspace\socialnetworking\src\test\resources
2017-06-06 09:30:57,079 [Worker-238] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 09:30:57,449 [Worker-238] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-06 09:30:57,451 [Worker-238] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 09:30:57,453 [Worker-238] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\MRuser\Desktop\Project_Workspace\socialnetworking\src\test\resources
